10g: links: 371g; rechts: 127g, 127g, 127g
9480g: naechtes Ergebnis: 9483g: links: 127g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 42g, 42g, 42g
9490g: naechtes Ergebnis: 9493g: links: /; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 42g, 42g, 42g, 127g, 127g
9500g: naechtes Ergebnis: 9501g: links: 371g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 42g, 42g, 42g
9510g: naechtes Ergebnis: 9511g: links: 371g, 371g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 42g, 42g, 42g, 127g
9520g: naechtes Ergebnis: 9517g: links: 42g, 42g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 371g
9530g: naechtes Ergebnis: 9527g: links: 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 127g
9540g: naechtes Ergebnis: 9536g: links: /; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 42g, 127g, 127g, 127g
9550g: naechtes Ergebnis: 9554g: links: 371g, 371g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 42g, 127g, 127g
9560g: naechtes Ergebnis: 9559g: links: 42g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 371g
9570g: naechtes Ergebnis: 9569g: links: 42g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 127g
9580g: naechtes Ergebnis: 9578g: links: /; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 42g, 42g, 127g, 127g, 127g
9590g: naechtes Ergebnis: 9587g: links: 371g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g
9600g: links: 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 42g, 42g, 42g
9610g: links: /; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 42g, 42g, 42g
9620g: links: /; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 42g, 42g, 42g, 127g, 127g, 127g
9630g: links: 371g, 42g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 127g
9640g: naechtes Ergebnis: 9639g: links: 371g, 371g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 127g, 127g, 127g
9650g: naechtes Ergebnis: 9653g: links: /; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 42g, 127g
9660g: naechtes Ergebnis: 9661g: links: 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 42g
9670g: naechtes Ergebnis: 9671g: links: 371g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 42g
9680g: naechtes Ergebnis: 9681g: links: 371g, 371g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 42g, 127g, 127g, 127g
9690g: naechtes Ergebnis: 9686g: links: 42g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 371g
9700g: naechtes Ergebnis: 9703g: links: 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 42g, 42g
9710g: naechtes Ergebnis: 9713g: links: 371g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 42g, 42g
9720g: naechtes Ergebnis: 9719g: links: 42g, 42g, 42g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 371g
9730g: naechtes Ergebnis: 9729g: links: 42g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 371g
9740g: naechtes Ergebnis: 9739g: links: 42g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 127g, 127g, 127g
9750g: naechtes Ergebnis: 9747g: links: 42g, 42g, 42g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g
9760g: naechtes Ergebnis: 9761g: links: 42g, 42g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 371g
9770g: links: 127g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 42g
9780g: links: /; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 42g, 127g, 127g
9790g: naechtes Ergebnis: 9789g: links: 42g, 42g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g
9800g: naechtes Ergebnis: 9799g: links: 371g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 127g, 127g
9810g: naechtes Ergebnis: 9812g: links: 127g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 42g, 42g
9820g: naechtes Ergebnis: 9822g: links: /; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 42g, 42g, 127g, 127g
9830g: links: 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 42g, 42g
9840g: links: 371g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 42g, 42g, 127g
9850g: naechtes Ergebnis: 9846g: links: 42g, 42g, 42g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 371g
9860g: naechtes Ergebnis: 9856g: links: 42g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 127g
9870g: naechtes Ergebnis: 9872g: links: 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 42g, 42g, 42g
9880g: naechtes Ergebnis: 9882g: links: 371g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 42g, 42g, 42g, 127g
9890g: naechtes Ergebnis: 9888g: links: 42g, 42g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 371g
9900g: naechtes Ergebnis: 9898g: links: 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 127g
9910g: naechtes Ergebnis: 9907g: links: /; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 42g, 127g, 127g, 127g
9920g: naechtes Ergebnis: 9916g: links: 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g
9930g: links: 42g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 371g
9940g: links: 42g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 127g
9950g: naechtes Ergebnis: 9949g: links: /; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 42g, 42g, 127g, 127g, 127g
9960g: naechtes Ergebnis: 9958g: links: 42g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g
9970g: naechtes Ergebnis: 9971g: links: 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 371g, 42g, 42g, 42g
9980g: naechtes Ergebnis: 9981g: links: /; rechts: 2000g, 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 42g, 42g, 42g
9990g: links: 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g, 371g
10000g: links: /; rechts: 2000g, 2000g, 2000g, 2000g, 2000g
